"species","longitude","latitude","BIO_2","BIO_5","BIO_6","BIO_12","BIO_14","BIO_15","SR_RANGE","SR_HINGHQ","Cation_Exchange_Capacity","Organic_Carbon","pH"
"Spirodela polyrhiza",16.2499999999997,48.4166666666667,8.56414604187012,25.263500213623,-3.25850009918213,553,27,32.7214813232422,17970,19692.666015625,29,45,69
"Spirodela polyrhiza",39.083333333333,55.9166666666667,8.47314548492432,25.2042503356934,-13.1505002975464,627,29,34.8040199279785,18873,19054,46,196,52
"Spirodela polyrhiza",14.7499999999997,57.4166666666667,7.99412488937378,20.7325000762939,-5.98925018310547,715,40,20.5736312866211,19048,19154.666015625,37,176,45
"Spirodela polyrhiza",14.2499999999997,55.5833333333334,6.48854780197144,20.8425712585449,-2.17285704612732,663,37,20.3140335083008,19041,19433,31,144,62
"Spirodela polyrhiza",10.2499999999997,47.75,9.04068756103516,21.0172500610352,-5.41674995422363,1372,84,24.9119472503662,15998,18955.333984375,36,149,59
"Spirodela polyrhiza",11.4166666666663,59.25,6.932541847229,20.24049949646,-5.78049993515015,835,46,25.3111419677734,18637,18647.333984375,40,171,46
"Spirodela polyrhiza",139.583333333333,35.4166666666667,8.08613395690918,30.3200531005859,0.997560977935791,1671,52,41.2955894470215,9140,16601.333984375,25,174,60
"Spirodela polyrhiza",32.4166666666663,-27.0833333333333,11.9654579162598,31.9042491912842,11.2867498397827,683,14,60.2248153686523,9531,20883.333984375,13,16,62
"Spirodela polyrhiza",-84.7500000000003,9.9166666666667,10.3270835876465,34.1794891357422,20.7301273345947,2100,10,79.8544006347656,4626,22634,26,96,60
"Spirodela polyrhiza",-6.75000000000034,42.4166666666667,9.90402126312256,26.0459995269775,-0.296499997377396,1106,32,42.5954284667969,19547,22875.666015625,27,103,61
"Spirodela polyrhiza",24.583333333333,60.9166666666667,8.39306259155273,21.67799949646,-11.0212497711182,606,30,32.7176742553711,19638,19146.333984375,40,172,49
"Spirodela polyrhiza",-93.2500000000003,48.75,10.429666519165,24.8002490997314,-21.5739994049072,647,19,53.931037902832,17652,20329,39,224,53
"Spirodela polyrhiza",35.7499999999997,53.9166666666667,7.72329139709473,22.5772495269775,-10.6777496337891,625,31,31.7718467712402,18915,19333.666015625,46,178,56
"Spirodela polyrhiza",-79.416666666667,43.5833333333334,7.64191627502441,25.3482494354248,-7.04925012588501,809,48,15.2338809967041,17618,20850.666015625,28,136,66
"Spirodela polyrhiza",10.2499999999997,48.25,8.40250015258789,22.6897506713867,-3.92925000190735,906,45,32.8220329284668,16171,18690,31,131,59
"Spirodela polyrhiza",10.4166666666663,43.75,10.2978954315186,29.0470008850098,2.03250002861023,953,27,39.1676940917969,20047,22946.333984375,24,60,74
